Speed: 0.282271, angle1: -0.495585, angle2: 0.648715, v1: 0.113573, v2: 4.874044, M1: 2.963147, M2: 0.586426
Speed: 0.272895, angle1: -0.492318, angle2: 0.694922, v1: 0.326670, v2: 4.620772, M1: 3.107854, M2: 0.621330
Speed: 0.264265, angle1: -0.486990, angle2: 0.738392, v1: 0.532797, v2: 4.347011, M1: 3.238545, M2: 0.652408
Speed: 0.256496, angle1: -0.479691, angle2: 0.779109, v1: 0.729935, v2: 4.071663, M1: 3.355271, M2: 0.680666
Speed: 0.249442, angle1: -0.470487, angle2: 0.816944, v1: 0.920396, v2: 3.783535, M1: 3.458261, M2: 0.698205
Speed: 0.242871, angle1: -0.459418, angle2: 0.851635, v1: 1.106930, v2: 3.469068, M1: 3.547488, M2: 0.703314
Speed: 0.236733, angle1: -0.446529, angle2: 0.882999, v1: 1.288892, v2: 3.136408, M1: 3.622629, M2: 0.701676
Speed: 0.231070, angle1: -0.431885, angle2: 0.910974, v1: 1.464392, v2: 2.797477, M1: 3.683408, M2: 0.695548
Speed: 0.225841, angle1: -0.415555, angle2: 0.935474, v1: 1.633015, v2: 2.449967, M1: 3.729723, M2: 0.681900
Speed: 0.220968, angle1: -0.397606, angle2: 0.956346, v1: 1.794837, v2: 2.087194, M1: 3.761501, M2: 0.659557
Speed: 0.216463, angle1: -0.378120, angle2: 0.973460, v1: 1.948689, v2: 1.711399, M1: 3.778651, M2: 0.631402
Speed: 0.212418, angle1: -0.357193, angle2: 0.986755, v1: 2.092682, v2: 1.329532, M1: 3.781196, M2: 0.599940
Speed: 0.208913, angle1: -0.334937, angle2: 0.996192, v1: 2.225608, v2: 0.943696, M1: 3.769341, M2: 0.564954
Speed: 0.205995, angle1: -0.311466, angle2: 1.001710, v1: 2.347045, v2: 0.551806, M1: 3.743414, M2: 0.525943
Speed: 0.203732, angle1: -0.286900, angle2: 1.003251, v1: 2.456579, v2: 0.154085, M1: 3.703789, M2: 0.484226
Speed: 0.202226, angle1: -0.261364, angle2: 1.000794, v1: 2.553614, v2: -0.245642, M1: 3.650885, M2: 0.441793
Speed: 0.201581, angle1: -0.234986, angle2: 0.994354, v1: 2.637866, v2: -0.643987, M1: 3.585192, M2: 0.399512
Speed: 0.201868, angle1: -0.207889, angle2: 0.983953, v1: 2.709644, v2: -1.040169, M1: 3.507240, M2: 0.357343
Speed: 0.203139, angle1: -0.180194, angle2: 0.969614, v1: 2.769559, v2: -1.433909, M1: 3.417542, M2: 0.315641
Speed: 0.205443, angle1: -0.152012, angle2: 0.951382, v1: 2.818186, v2: -1.823194, M1: 3.316570, M2: 0.275403
Speed: 0.208825, angle1: -0.123451, angle2: 0.929331, v1: 2.856086, v2: -2.205053, M1: 3.204757, M2: 0.237389
Speed: 0.213300, angle1: -0.094611, angle2: 0.903556, v1: 2.883995, v2: -2.577539, M1: 3.082506, M2: 0.201635
Speed: 0.218855, angle1: -0.065583, angle2: 0.874157, v1: 2.902805, v2: -2.939866, M1: 2.950170, M2: 0.167946
Speed: 0.225455, angle1: -0.036450, angle2: 0.841248, v1: 2.913334, v2: -3.290937, M1: 2.808045, M2: 0.136461
